name,parent,clusterid,label,compute_pos,svg_pos,model_level,percentage,mi,children
Z2216,Z380,7,"avoid,offset,avoids,avoiding,avoided,offsets","789.585,-2163.7","728.44,-2201",2,0.20,"Z380,0.4078346819269664","Z1592,Z1591"
Z2217,Z381,7,"opengl,alpha,renders,commodity,pcs,framebuffer,hybrid","1128.15,-1644.45","1098.9,-1712.5",2,0.19,"Z381,0.46502898497300776","Z1594,Z1593"
Z2210,Z377,7,"spectrum,spectral,spectra,band,bands","1085.975,-954.35","1055.5,-972.84",2,0.05,"Z377,0.0939560492052103","Z1580,Z1579"
Z2211,Z378,7,"isovalue,isosurface,isosurfaces,isovalues","873.845,-775.855","859.01,-860.25",2,0.12,"Z378,0.33747539836151424","Z1581,Z1582"
Z2212,Z378,7,"lattice,lattices,timestep,timesteps,isosurfacing,fcc,bcc","992.315,-806.625","996.17,-809.81",2,0.11,"Z378,0.33092128158621203","Z1584,Z1583"
Z2213,Z379,7,"marching,cubes,mc,cube,tetrahedrization,isocontour,scattered","613.83,-962.49","591.89,-922.9",2,0.08,"Z379,0.18029538115316088","Z1585,Z1586"
Z226,Z311,4,"symposium,usa,november,md","4411.7,-2304.75","4480.9,-2337.1",2,0.13,"Z311,0.22079407930522787","Z165,Z166"
Z227,Z311,4,"city,salt,lake,cities,utah","4773.8,-2608.5","4733.8,-2584.3",2,0.13,"Z311,0.07338081598676863","Z167,Z168"
Z224,Z310,4,"analytics,technology,administrators,enterprise,alarms,decade,evident","4530.9,-2106.35","4486.2,-2158.8",2,0.19,"Z310,0.46842028413422165","Z161,Z160"
Z225,Z310,4,"anomaly,anomalies,suspicious,anomalous,suspects,security,suspect","4383.36666667,-2157.73333333","4419.6,-2175.7",2,0.19,"Z310,0.458479439746167","Z164,Z163,Z162"
Z222,Z39,4,"occurrence,occurrences,occurring,occurs,occur","4266.4,-2619.25","4361.7,-2558.3",2,0.15,"Z39,0.18214482028792953","Z156,Z157"
Z223,Z39,4,"temporal,temporally,spatially,spatio,spatiotemporal","4549.3,-2524.2","4547.6,-2517.2",2,0.18,"Z39,0.140071868699431","Z158,Z159"
Z220,Z39,4,"events,event,timeline,timelines","4297.8,-2413.65","4370.7,-2445.9",2,0.15,"Z39,0.411219262340662","Z152,Z153"
Z221,Z39,4,"trigger,triggered,instance,instances,hovering","4407.3,-2731.3","4395,-2644",2,0.18,"Z39,0.3428168951757813","Z154,Z155"
Z228,Z312,4,"univariate,variables,multivariate,variable","4316.7,-1803.45","4344.1,-1848.9",2,0.10,"Z312,0.16334243305820548","Z170,Z169"
Z229,Z312,4,"plot,plots,scatter,plotting,plotted,regression,slope","4224.1,-1966.0","4189.1,-1974",2,0.28,"Z312,0.24184908301878738","Z172,Z171"
Z2458,Z3172,9,"weights,weight,weighted,sum,weighting","2136.2,-1046.25","2121.8,-1090.3",2,0.20,"Z3172,0.2558754389412426","Z11285,Z11286"
Z2459,Z3173,9,"arbitrary,obtain,continuous,bound,restricted,decomposition,restriction","1541.05,-1085.377","1577.9,-1073.1",2,0.40,"Z3173,0.47437724469744513","Z11288,Z11289,Z11287,Z11296,Z11295,Z11294,Z11293,Z11292,Z11291,Z11290"
Z2452,Z3169,0,"morphological,segmentation,segmented,morphology,erosion","1421.95,-1534.0","1460,-1555.9",2,0.07,"Z3169,0.09026777299483851","Z11271,Z11272"
Z2453,Z3170,0,"scanned,ultrasound,scanning,scan,acquired,noise,acquisition","1388.85,-1744.825","1419,-1732.2",2,0.14,"Z3170,0.38129166424702066","Z11273,Z11275,Z11274,Z11276"
Z2450,Z3169,0,"bone,head,skin,bones,skull","1726.2,-1613.3","1588.2,-1595.5",2,0.09,"Z3169,0.1218508550897123","Z11266,Z11265"
Z2451,Z3169,0,"intensity,intensities,spots,mask,enhance,masks,enhanced","1388.925,-1670.975","1372.8,-1644.1",2,0.18,"Z3169,0.10843850427411503","Z11268,Z11267,Z11270,Z11269"
Z2456,Z3171,9,"neighborhood,neighborhoods,boundary,boundaries","1960.0,-1390.35","2016.9,-1347.9",2,0.23,"Z3171,0.37361241687690766","Z11281,Z11282"
Z2457,Z3172,9,"assigned,assign,belong,belongs,assigning,assignment,assigns","1858.8,-1063.45","1979.2,-1129",2,0.23,"Z3172,0.19503434854500135","Z11283,Z11284"
Z2454,Z3170,0,"ct,organs,mri,tomography,soft,liver","1547.3,-1622.9","1577.9,-1639.6",2,0.14,"Z3170,0.39343836373328134","Z11278,Z11277"
Z2455,Z3171,9,"neighbor,closest,closer,voronoi,neighbors,nearest,tessellation","2350.35,-1225.45","2266.1,-1273.3",2,0.31,"Z3171,0.4616580828061772","Z11279,Z11280"
Z532,Z612,10,"temperature,pressure,water,weather,air,temperatures,wind","815.50557377,-2633.3147541","802.43,-2568.3",5,0.11,"Z612,0.032943252257585154","Z2548,Z3200,Z3202,Z3203,Z3204,Z478,Z477,Z2543,Z2545,Z11538,Z11539,Z2539,Z2538,Z3201,Z11551,Z11578,Z11572,Z11573,Z11570,Z11571,Z11576,Z11577,Z11574,Z11575,Z2540,Z2541,Z2542,Z2544,Z2546,Z2547,Z11569,Z11568,Z11561,Z11560,Z11563,Z11562,Z11565,Z11564,Z11567,Z11566,Z11536,Z11537,Z11554,Z11555,Z11556,Z11557,Z11550,Z11552,Z11553,Z11558,Z11559,Z11543,Z11542,Z11541,Z11540,Z11547,Z11546,Z11545,Z11544,Z11549,Z11548"
Z530,Z612,10,"ellipsoids,ellipsoid,anisotropy,anisotropic,isotropic,ellipse,tensor","1502.91714286,-2709.15238095","1479.5,-2775",5,0.14,"Z612,0.3241182541874027","Z11502,Z11466,Z11467,Z11468,Z11469,Z474,Z473,Z472,Z11473,Z11472,Z11471,Z11477,Z11476,Z11475,Z11474,Z11479,Z11488,Z11489,Z11486,Z11487,Z11484,Z11485,Z11482,Z11483,Z11480,Z11481,Z11499,Z11498,Z11495,Z11494,Z11497,Z11496,Z11491,Z11490,Z11493,Z11492,Z3194,Z3195,Z11470,Z11478,Z11505,Z11504,Z11503,Z11501,Z2526,Z2524,Z2525,Z2522,Z2523,Z2520,Z2521,Z2513,Z2517,Z2516,Z2515,Z2514,Z2519,Z2518,Z3190,Z3191,Z3192,Z3193,Z11500"
Z531,Z612,10,"streamlines,streamline,inflow,vortex,fluid,dynamics,vorticity","1271.39893617,-3045.82340426","1373.3,-3137.3",5,0.12,"Z612,0.35926854541408376","Z11508,Z11506,Z476,Z475,Z3196,Z3197,Z11534,Z11535,Z11532,Z11533,Z11530,Z11531,Z3198,Z3199,Z11525,Z11524,Z11527,Z11526,Z11521,Z11520,Z11523,Z11522,Z11529,Z11528,Z11510,Z11511,Z11512,Z11513,Z11514,Z11515,Z11516,Z11517,Z11518,Z11519,Z2535,Z2534,Z2537,Z2536,Z2531,Z2530,Z2533,Z2532,Z11509,Z11507,Z2527,Z2528,Z2529"
Z27,Z33,4,"predicates,predicate,expressive,expressiveness","3992.75,-1941.95","4064.9,-2014.4",2,0.05,"Z33,0.08103080589174638","Z118,Z119"
Z26,Z33,4,"modules,module,explorer,outputs,iris,avs,output","4621.225,-2404.725","4548.1,-2339",2,0.11,"Z33,0.09816395570835337","Z114,Z115,Z116,Z117"
Z25,Z33,4,"script,scripts,languages,language,programming,scripting,template","4370.96666667,-2277.16666667","4346.3,-2273.5",2,0.08,"Z33,0.26957711048816063","Z111,Z112,Z113"
Z24,Z32,4,"terrain,altitude,flight,meters,elevation,meter,km","4171.2,-2021.56666667","4140,-2062",2,0.03,"Z32,0.12056863369385597","Z18,Z19,Z110"
